"target","tic_id","sector","sectors","tmag","teff_k","stellar_radius_solar","distance_pc","ra_deg","dec_deg","camera","ccd","known_planet_host_rows"
"TIC 206327797","206327797","105","105","9.7389","3290.0","0.575313","24.9766","354.066152811323","-48.5835376201043","2","2","0"
"TIC 231907973","231907973","105","105","9.75165","3934.0","0.7024","44.1072","6.31109185626212","-61.5134035031295","2","1","0"
"TIC 123269276","123269276","105","105","9.7592","3715.0","0.489984","24.2671","28.7960885053498","-32.0902734502549","4","1","0"
"TIC 152970468","152970468","105","105","9.78832","3751.0","0.485889","25.1012","47.8140343668632","-46.5176268384426","4","2","0"
"TIC 146247926","146247926","105","105","9.79343","3709.0","0.525121","27.3463","34.4866174690608","-35.6168208110295","4","1","0"
"TIC 197962036","197962036","105","105","9.7979","4243.0","0.629326","42.3379","348.631887307475","-53.9579354607571","2","1","0"
"TIC 224270730","224270730","105","105","9.80069","3491.0","0.457555","20.7136","354.572572981238","-41.5177165602206","2","2","0"
"TIC 123366965","123366965","105","105","9.84507","3406.0","0.237209","9.3687","31.4523090680435","-30.1766389952827","4","1","0"
"TIC 7151484","7151484","105","105","9.87974","3403.0","0.438721","19.1403","5.40526163366133","-46.0926061631644","3","1","0"
"TIC 48788704","48788704","105","105","9.8814","3411.0","0.340356","14.6978","301.950217483943","-31.7580756619452","1","3","0"
"TIC 156084049","156084049","105","105","9.88834","3569.0","0.697075","41.1122","11.3673100390235","-51.6260938241925","3","2","0"
"TIC 152287388","152287388","105","105","9.9026","4413.0","0.703123","54.7528","28.8449078866785","-38.7724166504235","3","4","0"
"TIC 200665595","200665595","105","105","9.9055","4413.0","0.646178","50.3834","2.87605745170578","-49.6283048712208","3","1","0"
"TIC 166808151","166808151","105","105","9.92552","3510.0","0.696374","38.803","39.2154230340877","-52.0510003962971","3","3","0"
"TIC 144458200","144458200","105","105","9.93897","3304.0","0.366845","14.9857","336.271145485908","-47.8796861851805","2","3","0"
"TIC 266996986","266996986","105","105","9.961","4388.0","0.685917","54.1318","349.95193589894","-54.7204801212714","2","1","0"
"TIC 406277015","406277015","105","105","9.9869","3857.0","0.698489","46.301","326.125511669819","-60.9774708263446","2","4","0"
"TIC 65347634","65347634","105","105","9.9933","4062.0","0.646071","42.3299","39.7138084345804","-28.1734252878947","4","1","0"
"TIC 209450384","209450384","105","105","10.0018","4170.0","0.647916","45.7297","45.6959902989879","-30.3602518171191","4","4","0"
"TIC 146246752","146246752","105","105","10.0433","3704.0","0.518662","30.0024","34.3695951287779","-32.2210273364479","4","1","0"
