target,tic_id,sector,sectors,tmag,ra_deg,dec_deg,camera,ccd,teff_k,stellar_radius_solar,distance_pc,luminosity_class,stellar_selection_tier,small_planet_merit,selection_rank
TIC 54144488,54144488,100,100,12.95,160.4363,-31.2003,1,1,2944.0,0.152435,18.3467,DWARF,0,0.956169,1
TIC 20325775,20325775,100,100,12.01,167.4723,-24.2491,1,2,3066.0,0.207213,17.5205,DWARF,0,1.034834,2
TIC 148563078,148563078,100,100,11.35,164.6152,-10.7757,1,3,3088.0,0.224442,14.4544,DWARF,0,0.972208,3
TIC 289706625,289706625,100,100,10.42,146.2233,-12.3481,1,4,3003.0,0.309432,13.1228,DWARF,0,1.06513,4
TIC 303301402,303301402,100,100,12.09,159.5597,-49.5665,2,1,3061.0,0.165067,14.4667,DWARF,0,0.853321,5
TIC 73232846,73232846,100,100,9.74,190.185,-43.5614,2,2,3341.0,0.220487,8.04625,DWARF,0,0.634766,6
TIC 454012528,454012528,100,100,10.22,175.3441,-36.4073,2,3,3156.0,0.210137,8.67849,DWARF,0,0.689005,7
TIC 146714732,146714732,100,100,13.54,160.0218,-42.1269,2,4,3122.0,0.222603,40.1635,DWARF,0,1.403062,8
TIC 419692115,419692115,100,100,10.73,191.4733,-55.1149,3,1,3136.0,0.203777,10.1828,DWARF,0,0.76431,9
TIC 375841179,375841179,100,100,7.09,178.7587,-56.0985,3,2,5670.0,0.864261,31.0482,DWARF,0,1.29129,10
TIC 328591096,328591096,100,100,10.77,190.5644,-71.639,3,3,3249.0,0.264253,14.4447,DWARF,0,0.99804,11
TIC 448465432,448465432,100,100,9.3,211.0424,-66.243,3,4,3432.0,0.413428,24.5677681,DWARF,0,1.0928,12
TIC 402834325,402834325,100,100,7.16,249.2116,-65.5863,4,1,6200.06,1.12215,48.8522,DWARF,0,1.532102,13
TIC 449046160,449046160,100,100,12.11,215.564,-70.3967,4,2,2985.0,0.153296,12.8553,DWARF,0,0.793062,14
TIC 381983159,381983159,100,100,12.63,283.9589,-69.2425,4,3,2835.0,0.135559,11.6079,DWARF,0,0.790257,15
TIC 75160399,75160399,100,100,8.37,266.6276,-57.3289,4,4,3386.0,0.291681,5.88616,DWARF,0,0.603816,16
TIC 408438072,408438072,100,100,11.94,161.4639,-23.1512,1,1,3038.0,0.201625,16.3261,DWARF,0,0.997089,17
TIC 219246754,219246754,100,100,12.5,171.3701,-19.0326,1,2,3086.0,0.20085,21.5539,DWARF,0,1.105744,18
TIC 286332367,286332367,100,100,13.53,170.5485,-11.5379,1,3,2908.0,0.162217,24.1254,DWARF,0,1.126193,19
TIC 396823875,396823875,100,100,10.91,148.1732,-15.6048,1,4,3315.0,0.27975,17.6284,DWARF,0,1.07554,20
TIC 272649679,272649679,100,100,11.8,161.3762,-50.9912,2,1,3162.0,0.291077,25.1736,DWARF,0,1.288016,21
TIC 22247626,22247626,100,100,12.3,183.6589,-46.0557,2,2,2967.0,0.175375,15.646,DWARF,0,0.947935,22
TIC 448744245,448744245,100,100,12.32,182.444,-32.2227,2,3,3158.0,0.203424,21.3005,DWARF,0,1.080804,23
TIC 54147357,54147357,100,100,12.87,160.5651,-33.4389,2,4,3277.0,0.274786,41.3535,DWARF,0,1.451989,24
TIC 271946648,271946648,100,100,10.55,187.3822,-55.9995,3,1,3227.0,0.258143,13.0701,DWARF,0,0.933721,25
TIC 317385747,317385747,100,100,11.14,172.5749,-59.987,3,2,3398.0,0.392529,30.3168,DWARF,0,1.415743,26
TIC 341787179,341787179,100,100,11.94,203.5376,-71.3667,3,3,3023.0,0.204262,16.76,DWARF,0,1.008375,27
TIC 332286707,332286707,100,100,9.02,212.7888,-61.9301,3,4,3727.0,0.53071,19.6133,DWARF,0,1.253715,28
TIC 363596599,363596599,100,100,9.67,249.7907,-68.3861,4,1,4584.0,0.688399,52.628,DWARF,0,1.60968,29
TIC 384667852,384667852,100,100,11.81,256.6997,-82.1968,4,2,3234.0,0.268109,23.8661,DWARF,0,1.218623,30
TIC 276834958,276834958,100,100,9.74,272.8158,-78.9875,4,3,3132.0,0.355825,,DWARF,0,1.050473,31
TIC 447382925,447382925,100,100,11.32,251.9859,-65.154,4,4,3249.0,0.20576,14.5807,DWARF,0,0.890722,32
TIC 188087958,188087958,100,100,11.77,161.6375,-24.5873,1,1,3407.0,0.227206,21.262,DWARF,0,1.06684,33
TIC 335380087,335380087,100,100,12.54,169.948,-16.5435,1,2,3015.0,0.219294,23.8476,DWARF,0,1.190053,34
TIC 148498810,148498810,100,100,11.02,163.8917,-9.3539,1,3,3307.0,0.289271,19.2346,DWARF,0,1.12661,35
TIC 179279545,179279545,100,100,13.79,159.2586,-18.4625,1,4,3013.0,0.152397,28.459,DWARF,0,1.123953,36
TIC 273052736,273052736,100,100,12.99,170.6268,-49.1636,2,1,3113.0,0.253353,,DWARF,0,1.405452,37
TIC 454073466,454073466,100,100,11.38,176.3947,-40.9339,2,2,3184.0,0.228827,15.842,DWARF,0,0.995015,38
TIC 57186214,57186214,100,100,12.88,170.706,-31.6789,2,3,3145.0,0.18799,25.3172,DWARF,0,1.124269,39
TIC 287301013,287301013,100,100,9.39,165.0128,-35.1117,2,4,3713.0,0.62031,32.6475067,DWARF,0,1.463218,40
TIC 256911677,256911677,100,100,10.93,200.5163,-55.0174,3,1,3232.0,0.245323,14.5884,DWARF,0,0.965477,41
TIC 379773579,379773579,100,100,11.38,181.332,-64.6973,3,2,3488.0,0.423353,38.985,DWARF,0,1.529405,42
TIC 361871362,361871362,100,100,12.54,195.9323,-72.557,3,3,3191.0,0.251083,30.7515,DWARF,0,1.307635,43
TIC 209828398,209828398,100,100,11.71,210.9593,-59.3988,3,4,3485.0,0.298055,30.1577,DWARF,0,1.290593,44
TIC 1206529116,1206529116,100,100,11.78,249.1781,-66.3892,4,1,3838.0,0.446324,58.4397,DWARF,0,1.6553,45
TIC 384490072,384490072,100,100,12.37,252.6662,-78.3359,4,2,3281.0,0.245367,28.5825,DWARF,0,1.253632,46
TIC 292749585,292749585,100,100,11.45,274.8139,-77.0513,4,3,3269.0,0.26579,21.3747,DWARF,0,1.139077,47
TIC 74188694,74188694,100,100,10.08,264.6357,-58.5453,4,4,3352.0,0.359816,16.3287,DWARF,0,1.128161,48
TIC 308984536,308984536,100,100,12.16,150.8982,-27.2954,1,1,3259.0,0.245879,26.3491,DWARF,0,1.213443,49
TIC 410407964,410407964,100,100,8.67,166.8636,-19.2918,1,2,3827.0,0.564998,18.7168,DWARF,0,1.238094,50
TIC 333794492,333794492,100,100,11.18,169.274,-11.3748,1,3,3300.0,0.285621,19.9821,DWARF,0,1.14758,51
TIC 36877906,36877906,100,100,12.7,156.2586,-9.0898,1,4,3142.0,0.196692,25.1823,DWARF,0,1.127573,52
TIC 80938947,80938947,100,100,13.05,166.2091,-48.8952,2,1,3232.0,0.300053,49.0596,DWARF,0,1.564396,53
TIC 165630168,165630168,100,100,11.1,181.0678,-40.6356,2,2,3384.0,0.290069,20.5649,DWARF,0,1.145003,54
TIC 152366332,152366332,100,100,11.64,171.097,-39.0133,2,3,3250.0,0.27115,22.2747,DWARF,0,1.194419,55
TIC 106756298,106756298,100,100,13.43,160.7694,-40.8173,2,4,3201.0,0.254024,46.6904,DWARF,0,1.49575,56
TIC 273342620,273342620,100,100,11.18,188.6605,-54.2508,3,1,3312.0,0.340518,24.8262,DWARF,0,1.30028,57
TIC 467558608,467558608,100,100,12.11,168.8106,-65.1104,3,2,3411.0,0.378217,44.333,DWARF,0,1.577482,58
TIC 448186109,448186109,100,100,9.99,208.7213,-71.3642,3,3,3509.0,0.462766,22.8364,DWARF,0,1.328723,59
TIC 209828429,209828429,100,100,11.7,211.0014,-59.4023,3,4,3486.0,0.299168,30.1693,DWARF,0,1.29183,60
TIC 258603530,258603530,100,100,8.02,221.9893,-67.8388,4,1,5880.0,1.09644,64.2075,DWARF,0,1.68397,61
TIC 395744004,395744004,100,100,7.49,208.8314,-76.271,4,2,5049.07,0.76258,26.4945,DWARF,0,1.262571,62
TIC 256097450,256097450,100,100,10.51,267.1169,-74.4625,4,3,3431.0,0.338157,19.2541,DWARF,0,1.160237,63
TIC 74185907,74185907,100,100,12.12,264.6727,-59.7085,4,4,3185.0,0.251972,25.5313,DWARF,0,1.226705,64
TIC 192941085,192941085,100,100,13.71,154.7539,-26.7762,1,1,3101.0,0.199514,38.383,DWARF,0,1.341947,65
TIC 393419874,393419874,100,100,11.87,164.6824,-25.9047,1,2,3354.0,0.288779,28.4048,DWARF,0,1.295131,66
TIC 181804752,181804752,100,100,13.56,165.6898,-16.4066,1,3,2949.0,0.17143,26.4927,DWARF,0,1.180174,67
TIC 334736511,334736511,100,100,11.41,157.5428,-15.435,1,4,3396.0,0.282761,23.5934,DWARF,0,1.184839,68
TIC 92763631,92763631,100,100,9.38,173.9745,-49.605,2,1,4451.0,0.739984,46.3324,DWARF,0,1.614445,69
TIC 22850303,22850303,100,100,11.14,185.9083,-46.1057,2,2,3289.0,0.322272,22.9056,DWARF,0,1.244445,70
TIC 277958255,277958255,100,100,13.07,177.759,-36.1964,2,3,3051.0,0.207913,28.6586,DWARF,0,1.249763,71
TIC 151639642,151639642,100,100,10.9,166.9214,-36.1002,2,4,3538.0,0.470157,36.7915,DWARF,0,1.524486,72
TIC 403956193,403956193,100,100,11.49,188.5855,-53.5007,3,1,3292.0,0.322928,25.8959,DWARF,0,1.316211,73
TIC 401143496,401143496,100,100,7.22,186.0432,-57.9186,3,2,6109.0,1.19197,51.7514,DWARF,0,1.596531,74
TIC 395294553,395294553,100,100,11.36,205.2301,-72.2153,3,3,3575.0,0.45073,43.2425,DWARF,0,1.579833,75
TIC 186085740,186085740,100,100,9.52,220.0002,-56.915,3,4,3882.0,0.528203,25.6314,DWARF,0,1.349602,76
TIC 342609764,342609764,100,100,7.38,240.1506,-61.3056,4,1,5881.02,1.30461,57.1364,DWARF,0,1.706961,77
TIC 401487114,401487114,100,100,11.11,215.1512,-75.2685,4,2,3244.0,0.357737,,DWARF,0,1.329128,78
TIC 256097445,256097445,100,100,10.23,267.1153,-74.4666,4,3,3470.0,0.374096,19.266,DWARF,0,1.191966,79
TIC 172889501,172889501,100,100,12.23,256.9485,-59.5233,4,4,3204.0,0.247532,26.2534,DWARF,0,1.233263,80
TIC 54109992,54109992,100,100,10.88,160.3532,-30.0251,1,1,3562.0,0.411941,30.8946,DWARF,0,1.40567,81
TIC 308094988,308094988,100,100,12.52,168.1056,-17.776,1,2,3255.0,0.251496,31.5577,DWARF,0,1.305062,82
TIC 453465810,453465810,100,100,9.2,170.024,-10.4962,1,3,3582.0,0.50961,18.8973,DWARF,0,1.254476,83
TIC 192543860,192543860,100,100,12.47,154.5474,-20.4717,1,4,3079.0,0.238938,25.4199,DWARF,0,1.25057,84
TIC 81699706,81699706,100,100,9.81,167.945,-48.7728,2,1,5045.74,0.673358,68.4799,DWARF,0,1.618492,85
TIC 73305532,73305532,100,100,10.07,190.261,-46.9236,2,2,3536.0,0.41845,21.2197,DWARF,0,1.257287,86
TIC 142389148,142389148,100,100,11.8,181.7411,-35.0165,2,3,3162.0,0.292099,40.6544952,DWARF,0,1.29106,87
TIC 102689293,102689293,100,100,12.54,155.4598,-41.9827,2,4,3268.0,0.322307,42.8547,DWARF,0,1.524539,88
TIC 255848989,255848989,100,100,12.31,186.0993,-53.6529,3,1,3113.0,0.29179,31.3206,DWARF,0,1.392141,89
TIC 405382498,405382498,100,100,9.61,184.1496,-57.5992,3,2,4547.0,0.692976,50.554,DWARF,0,1.603436,90
TIC 359578644,359578644,100,100,12.51,183.8592,-72.5016,3,3,3454.0,0.385814,57.8519,DWARF,0,1.674756,91
TIC 393001368,393001368,100,100,10.9,218.4721,-61.1518,3,4,3543.0,0.410113,30.6424,DWARF,0,1.405807,92
TIC 363265095,363265095,100,100,11.57,248.5785,-69.1537,4,1,3313.0,0.507862,50.0116,DWARF,0,1.725491,93
TIC 402683652,402683652,100,100,12.43,224.006,-72.6625,4,2,3136.0,0.30821,,DWARF,0,1.463693,94
TIC 466696103,466696103,100,100,13.34,296.8164,-76.7832,4,3,2953.0,0.19207,28.2868,DWARF,0,1.234919,95
TIC 306980405,306980405,100,100,12.99,266.6243,-62.5978,4,4,3219.0,0.221741,33.1333,DWARF,0,1.289692,96
TIC 187922557,187922557,100,100,9.92,159.1166,-28.4543,1,1,3540.0,0.521637,25.9614,DWARF,0,1.418737,97
TIC 437253099,437253099,100,100,11.55,169.8432,-19.0083,1,2,3297.0,0.322347,44.6407433,DWARF,0,1.326647,98
TIC 55240194,55240194,100,100,10.56,163.6735,-7.3121,1,3,3237.0,0.380591,23.85205,DWARF,0,1.272917,99
TIC 36724087,36724087,100,100,10.59,154.6439,-11.7185,1,4,3331.0,0.374139,21.9814,DWARF,0,1.264066,100
TIC 94637805,94637805,100,100,7.74,177.7872,-51.8763,2,1,5622.0,1.1091,53.1016,DWARF,0,1.637941,101
TIC 461196758,461196758,100,100,12.87,181.3778,-41.0833,2,2,3312.0,0.227744,33.7291,DWARF,0,1.288894,102
TIC 448695529,448695529,100,100,12.89,177.5719,-34.1191,2,3,3187.0,0.233119,33.1468,DWARF,0,1.313155,103
TIC 54253554,54253554,100,100,13.26,161.1997,-34.7174,2,4,3228.0,0.273869,48.2369,DWARF,0,1.527086,104
TIC 166563449,166563449,100,100,8.7,192.8458,-48.1026,3,1,5154.65,0.787942,49.4962,DWARF,0,1.532989,105
TIC 405379901,405379901,100,100,10.06,184.1025,-58.1564,3,2,4188.0,0.625968,45.824,DWARF,0,1.605104,106
TIC 359578645,359578645,100,100,11.88,183.8385,-72.5015,3,3,3623.0,0.459217,57.6795,DWARF,0,1.700036,107
TIC 393001369,393001369,100,100,10.9,218.4778,-61.1526,3,4,3537.0,0.414303,30.59,DWARF,0,1.414636,108
TIC 363527063,363527063,100,100,12.61,249.526,-67.1621,4,1,3233.0,0.40267,57.8914,DWARF,0,1.731899,109
TIC 291449009,291449009,100,100,13.09,247.9433,-79.4323,4,2,3265.0,0.278781,47.1637,DWARF,0,1.508526,110
TIC 343404892,343404892,100,100,12.24,268.3845,-74.0641,4,3,3188.0,0.259543,27.9032,DWARF,0,1.276419,111
TIC 447627656,447627656,100,100,8.03,254.2174,-60.9565,4,4,5271.0,0.834042,40.2077,DWARF,0,1.448376,112
TIC 179294885,179294885,100,100,13.53,159.5065,-21.9064,1,1,3182.0,0.234209,44.5258,DWARF,0,1.445207,113
TIC 32610018,32610018,100,100,12.75,175.6003,-25.361,1,2,3353.0,0.256232,37.159,DWARF,0,1.367267,114
TIC 305567403,305567403,100,100,13.04,163.5952,-15.1194,1,3,3000.0,0.245605,33.8062,DWARF,0,1.388474,115
TIC 308841579,308841579,100,100,9.83,152.4034,-17.8069,1,4,3569.0,0.450915,21.3872,DWARF,0,1.274189,116
TIC 162809834,162809834,100,100,10.6,171.4086,-47.6624,2,1,3770.0,0.58798,46.3799,DWARF,0,1.658725,117
TIC 73794653,73794653,100,100,12.03,192.4766,-45.0817,2,2,3286.0,0.277391,28.1585,DWARF,0,1.292185,118
TIC 142210952,142210952,100,100,13.24,180.3575,-35.0318,2,3,3195.0,0.228548,37.4448,DWARF,0,1.365955,119
TIC 178614175,178614175,100,100,8.09,165.6898,-42.2068,2,4,5941.98,0.965051,59.7181,DWARF,0,1.587101,120
TIC 401283888,401283888,100,100,10.2,187.989,-50.5459,3,1,3575.0,0.559671,,DWARF,0,1.535866,121
TIC 268129495,268129495,100,100,9.1,176.4645,-55.3461,3,2,4387.0,0.783102,41.5839,DWARF,0,1.607637,122
TIC 341051535,341051535,100,100,9.91,202.6287,-71.2524,3,3,4619.0,0.723725,62.6956,DWARF,0,1.701147,123
TIC 316577292,316577292,100,100,13.11,203.5712,-63.2411,3,4,3153.0,0.274551,43.1787,DWARF,0,1.499246,124
TIC 258603532,258603532,100,100,10.11,221.9927,-67.8382,4,1,4450.0,0.737508,64.4457,DWARF,0,1.757533,125
TIC 263350818,263350818,100,100,9.92,230.9983,-70.9034,4,2,3725.0,0.595305,34.3916,DWARF,0,1.533479,126
TIC 467939527,467939527,100,100,11.87,283.8103,-71.2525,4,3,3180.0,0.314669,28.2594,DWARF,0,1.369708,127
TIC 447627658,447627658,100,100,8.73,254.2124,-60.9565,4,4,4741.0,0.74987,40.1359,DWARF,0,1.495972,128
TIC 179240547,179240547,100,100,13.1,159.0372,-20.7323,1,1,3270.0,0.259362,42.7461,DWARF,0,1.447813,129
TIC 434495227,434495227,100,100,12.26,172.9046,-22.7089,1,2,3323.0,0.29085,34.0986,DWARF,0,1.379338,130
TIC 148612264,148612264,100,100,12.28,165.3759,-10.1213,1,3,3273.0,0.299788,34.2971,DWARF,0,1.409628,131
TIC 308841571,308841571,100,100,9.63,152.4018,-17.841,1,4,3624.0,0.47378,21.3983,DWARF,0,1.277153,132
TIC 304234457,304234457,100,100,11.48,165.0343,-56.1227,2,1,3719.0,0.480816,50.594,DWARF,0,1.659958,133
TIC 72818359,72818359,100,100,8.88,188.7203,-47.2892,2,2,4855.0,0.693223,42.7235,DWARF,0,1.457746,134
TIC 429165846,429165846,100,100,13.02,177.2051,-28.5571,2,3,3001.0,0.244254,35.0254,DWARF,0,1.379683,135
TIC 158588995,158588995,100,100,11.88,164.586,-36.8581,2,4,3411.0,0.421944,46.0851,DWARF,0,1.62651,136
TIC 260647166,260647166,100,100,8.65,186.5737,-51.3632,3,1,5723.87,0.864173,64.5978,DWARF,0,1.603201,137
TIC 281650462,281650462,100,100,9.49,170.4986,-60.4044,3,2,5367.0,0.788214,77.0766,DWARF,0,1.691288,138
TIC 394672497,394672497,100,100,9.62,201.7498,-73.5942,3,3,4554.0,0.774212,56.8792,DWARF,0,1.70172,139
TIC 394053465,394053465,100,100,10.84,218.6649,-64.7852,3,4,3518.0,0.506331,38.3709,DWARF,0,1.576869,140
TIC 258406641,258406641,100,100,8.32,221.5882,-67.7713,4,1,6056.0,1.15827,82.1017,DWARF,0,1.79162,141
TIC 426547985,426547985,100,100,13.46,245.4853,-77.161,4,2,3126.0,0.267868,48.8111,DWARF,0,1.547842,142
TIC 292292038,292292038,100,100,12.27,278.6708,-68.5537,4,3,3307.0,0.288744,33.5373,DWARF,0,1.375026,143
TIC 293963713,293963713,100,100,11.66,264.0605,-67.9368,4,4,3301.0,0.385324,35.6616,DWARF,0,1.503652,144
TIC 193023697,193023697,100,100,8.6,155.5978,-28.8474,1,1,5039.0,0.740247,42.6435,DWARF,0,1.458753,145
TIC 410427235,410427235,100,100,11.91,167.3678,-20.0754,1,2,3481.0,0.318424,34.9222,DWARF,0,1.388012,146
TIC 385230656,385230656,100,100,12.46,167.1113,-14.1126,1,3,3202.0,0.295449,35.7417,DWARF,0,1.432965,147
TIC 332657786,332657786,100,100,13.0,149.992,-16.1603,1,4,3275.0,0.234967,38.6057,DWARF,0,1.342014,148
TIC 82774204,82774204,100,100,10.76,170.1631,-50.1834,2,1,3822.0,0.57808,48.5121,DWARF,0,1.675976,149
TIC 135454073,135454073,100,100,12.13,187.8314,-40.3099,2,2,3229.0,0.335841,49.15025,DWARF,0,1.478267,150
TIC 142098917,142098917,100,100,7.2,179.1809,-32.2675,2,3,5641.0,0.954976,35.4926,DWARF,0,1.399985,151
TIC 102840239,102840239,100,100,9.36,155.872,-43.8349,2,4,4953.89,0.759387,59.7117,DWARF,0,1.632926,152
TIC 160833480,160833480,100,100,9.46,189.6098,-51.7173,3,1,5063.0,0.758572,65.2019,DWARF,0,1.651994,153
TIC 271818417,271818417,100,100,12.63,187.0518,-59.761,3,2,3323.0,0.387814,56.8642,DWARF,0,1.703247,154
TIC 448513620,448513620,100,100,8.9,211.0986,-68.9465,3,3,4725.0,0.926175,53.155,DWARF,0,1.713386,155
TIC 331965788,331965788,100,100,11.09,212.7229,-65.3618,3,4,3618.0,0.480303,42.6639,DWARF,0,1.581031,156
TIC 340101519,340101519,100,100,7.32,237.8707,-64.1817,4,1,6441.63,1.47431,72.4333,DWARF,0,1.801178,157
TIC 402751959,402751959,100,100,8.37,224.6846,-75.5485,4,2,5753.7,0.877673,58.54,DWARF,0,1.560665,158
TIC 423211395,423211395,100,100,11.94,286.9792,-79.3992,4,3,3367.0,0.318649,33.5336,DWARF,0,1.394625,159
TIC 293798090,293798090,100,100,13.6,263.5396,-66.745,4,4,3241.0,0.263843,54.4638,DWARF,0,1.562691,160
TIC 413303214,413303214,100,100,13.18,160.2813,-21.245,1,1,3226.0,0.265513,43.8896,DWARF,0,1.484172,161
TIC 20500669,20500669,100,100,12.44,169.0769,-25.8244,1,2,3164.0,0.288385,31.5702,DWARF,0,1.407945,162
TIC 347591983,347591983,100,100,12.44,168.6385,-13.827,1,3,3441.0,0.303428,41.327,DWARF,0,1.452111,163
TIC 332705803,332705803,100,100,12.02,150.2019,-12.5059,1,4,3316.0,0.301835,31.5828,DWARF,0,1.363539,164
TIC 304234452,304234452,100,100,11.49,165.0353,-56.1214,2,1,3561.0,0.490557,50.4815,DWARF,0,1.679379,165
TIC 454017386,454017386,100,100,8.36,175.4525,-40.574,2,2,5040.0,0.919741,47.4242,DWARF,0,1.599331,166
TIC 142098919,142098919,100,100,7.06,179.1748,-32.2682,2,3,5742.0,0.986414,35.477,DWARF,0,1.400118,167
TIC 152109597,152109597,100,100,10.74,169.7083,-39.4731,2,4,3793.0,0.562213,47.517,DWARF,0,1.647802,168
TIC 333772196,333772196,100,100,11.28,182.112,-52.2399,3,1,3689.0,0.529529,54.1438,DWARF,0,1.703779,169
TIC 66932406,66932406,100,100,10.48,181.2938,-54.1215,3,2,3591.0,0.64189,,DWARF,0,1.710921,170
TIC 338546417,338546417,100,100,13.32,198.5634,-70.3677,3,3,3103.0,0.336595,58.6423,DWARF,0,1.718215,171
TIC 334768935,334768935,100,100,10.46,213.9317,-61.7036,3,4,3776.0,0.576302,42.2132,DWARF,0,1.6133,172
TIC 424713519,424713519,100,100,12.66,236.7827,-65.5333,4,1,3514.0,0.437771,72.4228,DWARF,0,1.814494,173
TIC 300951068,300951068,100,100,11.9,242.2901,-75.6434,4,2,3302.0,0.391964,58.16209,DWARF,0,1.566492,174
TIC 343998246,343998246,100,100,12.07,277.2186,-73.903,4,3,3467.0,0.310239,36.2084,DWARF,0,1.397393,175
TIC 307235539,307235539,100,100,12.95,267.5749,-63.3599,4,4,3228.0,0.315103,48.8989,DWARF,0,1.586905,176
TIC 22221375,22221375,100,100,7.36,149.1229,-24.099,1,1,5940.41,1.03399,45.683,DWARF,0,1.501033,177
TIC 20324932,20324932,100,100,8.01,167.3772,-25.9912,1,2,5470.0,0.807751,41.3624,DWARF,0,1.416555,178
TIC 308094532,308094532,100,100,12.86,168.1129,-16.1784,1,3,3415.0,0.283092,44.6888,DWARF,0,1.475855,179
TIC 192543856,192543856,100,100,10.91,154.5546,-20.4773,1,4,3091.0,0.425228,25.3086,DWARF,0,1.439244,180
TIC 91474396,91474396,100,100,9.97,170.9444,-52.9608,2,1,3948.0,0.699602,48.0072,DWARF,0,1.683702,181
TIC 102045344,102045344,100,100,8.64,181.7271,-38.1068,2,2,5415.14,0.87155,58.6777,DWARF,0,1.608585,182
TIC 306996324,306996324,100,100,9.74,178.5789,-37.5538,2,3,3747.0,0.533024,27.1701,DWARF,0,1.401494,183
TIC 49173897,49173897,100,100,13.7,165.3944,-34.1826,2,4,3205.0,0.296555,64.3194,DWARF,0,1.684211,184
TIC 161738691,161738691,100,100,8.8,190.1809,-48.0477,3,1,5032.0,1.06805,66.897,DWARF,0,1.817183,185
TIC 266376971,266376971,100,100,8.28,175.1677,-58.1043,3,2,5966.93,1.06861,72.6076,DWARF,0,1.713638,186
TIC 360630575,360630575,100,100,8.72,189.7753,-74.574,3,3,5876.0,0.983215,79.5561,DWARF,0,1.729297,187
TIC 294419275,294419275,100,100,12.29,222.5368,-60.6016,3,4,3171.0,0.390811,52.7792053,DWARF,0,1.641934,188
TIC 263500760,263500760,100,100,8.38,231.0666,-66.4105,4,1,6237.0,1.18515,90.4214,DWARF,0,1.823547,189
TIC 403202991,403202991,100,100,8.73,228.0955,-75.2549,4,2,5170.0,0.81943,52.4566,DWARF,0,1.573024,190
TIC 343648067,343648067,100,100,11.8,272.2791,-76.2244,4,3,2993.0,0.333704,27.2981,DWARF,0,1.406723,191
TIC 464271372,464271372,100,100,9.11,279.2865,-64.8046,4,4,5196.0,0.773659,59.5741,DWARF,0,1.599099,192
TIC 192990045,192990045,100,100,8.5,155.2403,-28.7403,1,1,5556.32,0.800733,53.2701,DWARF,0,1.506975,193
TIC 434495424,434495424,100,100,12.36,172.8901,-23.3142,1,2,3281.0,0.300438,36.9488,DWARF,0,1.42751,194
TIC 410062743,410062743,100,100,11.13,161.9849,-15.5212,1,3,3624.0,0.423258,33.7573,DWARF,0,1.47921,195
TIC 293605269,293605269,100,100,12.4,149.6469,-14.7502,1,4,3436.0,0.308754,41.2154,DWARF,0,1.459225,196
TIC 92997988,92997988,100,100,10.04,174.3405,-48.0243,2,1,4484.0,0.698802,60.2716,DWARF,0,1.696708,197
TIC 403763751,403763751,100,100,8.33,179.9978,-42.0937,2,2,6011.0,0.945105,66.313,DWARF,0,1.61696,198
TIC 142040321,142040321,100,100,7.79,178.5211,-29.9828,2,3,5544.0,0.884988,42.1104,DWARF,0,1.451875,199
TIC 54147301,54147301,100,100,12.44,160.5354,-33.3585,2,4,3696.0,0.397583,64.1474,DWARF,0,1.686856,200
TIC 253956777,253956777,100,100,13.89,199.1506,-55.717,3,1,2959.0,0.33361,69.1165,DWARF,0,1.824478,201
TIC 267522448,267522448,100,100,8.19,176.1966,-58.2649,3,2,6113.0,1.09233,73.9957,DWARF,0,1.714708,202
TIC 438031710,438031710,100,100,7.17,194.8974,-64.3718,3,3,6269.4,1.40522,61.7528,DWARF,0,1.729489,203
TIC 382109014,382109014,100,100,12.37,208.6673,-64.3528,3,4,3457.0,0.386094,54.341,DWARF,0,1.647386,204
TIC 424713521,424713521,100,100,11.96,236.7788,-65.5344,4,1,3687.0,0.531671,72.2919,DWARF,0,1.843286,205
TIC 395326726,395326726,100,100,10.91,206.0402,-77.1019,4,2,3646.0,0.501605,41.5537,DWARF,0,1.582724,206
TIC 340902907,340902907,100,100,13.55,294.6653,-73.2511,4,3,3174.0,0.22797,43.2222,DWARF,0,1.425755,207
TIC 381285216,381285216,100,100,12.27,255.5408,-67.5764,4,4,3098.0,0.37671,41.3132,DWARF,0,1.606014,208
TIC 179297418,179297418,100,100,13.1,159.7086,-20.9066,1,1,3163.0,0.308338,50.7626,DWARF,0,1.598054,209
TIC 20375215,20375215,100,100,8.84,167.6082,-29.4145,1,2,4799.0,0.678033,39.7429,DWARF,0,1.430502,210
TIC 386563542,386563542,100,100,12.27,159.1248,-12.6172,1,3,3366.0,0.331486,40.8062,DWARF,0,1.49493,211
TIC 308773532,308773532,100,100,11.81,151.5875,-17.6773,1,4,3331.0,0.371023,37.1009,DWARF,0,1.500802,212
TIC 162808761,162808761,100,100,8.01,171.1047,-47.5057,2,1,6111.0,1.12603,70.1138,DWARF,0,1.7051,213
TIC 461190024,461190024,100,100,9.32,181.1958,-40.2259,2,2,5401.0,0.764533,69.923,DWARF,0,1.630792,214
TIC 32612670,32612670,100,100,13.86,175.7591,-29.6887,2,3,3150.0,0.225303,48.567,DWARF,0,1.477534,215
TIC 49005244,49005244,100,100,11.67,164.2978,-33.3575,2,4,3681.0,0.477186,55.6048,DWARF,0,1.691375,216
TIC 403911150,403911150,100,100,13.14,188.4636,-50.4842,3,1,3361.0,0.3993,76.6325,DWARF,0,1.830599,217
TIC 451060670,451060670,100,100,8.03,187.6516,-61.3993,3,2,6258.0,1.16586,76.1864,DWARF,0,1.739293,218
